pair_a,pair_b,n_detections,first_seen,last_seen,mean_rssi,best_rssi
Ned,Robbie,2,2025-11-17 06:52:38+00:00,2025-11-17 07:09:33+00:00,-51.0,-51
Ned,Shinny,2,2026-03-11 19:42:00+00:00,2026-03-13 01:52:38+00:00,-61.0,-58
Annie,Ollie,2,2026-03-12 11:15:37+00:00,2026-03-13 06:32:25+00:00,-48.5,-47
Annie,Shinny,2,2026-03-12 01:32:03+00:00,2026-03-13 00:42:21+00:00,-57.0,-56
Annie,ShooShoo,2,2025-11-15 02:20:23+00:00,2025-11-15 02:22:07+00:00,-84.0,-81
Annie,Sophie,2,2026-03-11 17:10:56+00:00,2026-03-11 22:32:01+00:00,-68.5,-68
Aymeric,Georgia,2,2026-03-13 00:08:50+00:00,2026-03-13 00:51:13+00:00,-61.5,-61
Aymeric,Blaise,2,2026-03-13 02:01:00+00:00,2026-03-13 05:41:58+00:00,-50.0,-43
Aymeric,Cameron,2,2026-03-13 05:20:38+00:00,2026-03-13 06:23:57+00:00,-44.5,-30
Aymeric,Craig,2,2026-03-13 05:13:40+00:00,2026-03-13 05:41:17+00:00,-27.5,-27
Aymeric,Lotus,2,2026-01-02 09:35:56+00:00,2026-03-13 06:23:57+00:00,-75.0,-62
Aymeric,Henry,2,2025-08-14 18:58:42+00:00,2025-08-14 19:01:39+00:00,-79.0,-76
Aymeric,Ollie,2,2025-08-28 01:55:35+00:00,2026-03-13 02:01:14+00:00,-47.5,-30
Aymeric,Ned,2,2025-12-01 08:37:04+00:00,2025-12-01 08:48:55+00:00,-58.5,-28
Blaise,Shinny,2,2026-03-12 20:02:14+00:00,2026-03-13 06:21:12+00:00,-49.5,-49
Blaise,Lotus,2,2026-03-13 06:11:12+00:00,2026-03-13 06:43:47+00:00,-34.0,-34
Aymeric,Shinny,2,2026-03-13 01:12:17+00:00,2026-03-13 06:13:56+00:00,-54.5,-47
Blaise,Cameron,2,2026-03-13 05:31:11+00:00,2026-03-13 05:50:39+00:00,-60.5,-56
Blaise,Emily,2,2026-03-12 18:30:44+00:00,2026-03-12 22:09:39+00:00,-60.5,-59
Blaise,Craig,2,2026-03-12 06:00:27+00:00,2026-03-12 23:23:36+00:00,-52.0,-48
Blaise,Georgia,2,2026-03-13 06:38:55+00:00,2026-03-13 06:51:12+00:00,-40.5,-40
Blaise,Kaelah,2,2026-03-13 07:02:58+00:00,2026-03-13 07:11:12+00:00,-45.0,-43
Blaise,ShooShoo,2,2025-11-17 05:02:39+00:00,2025-11-17 07:10:24+00:00,-41.5,-41
Blaise,Robbie,2,2025-11-17 07:00:24+00:00,2025-11-17 07:09:33+00:00,-48.0,-48
Blaise,Ned,2,2026-03-12 02:20:25+00:00,2026-03-13 05:02:40+00:00,-58.5,-56
Blaise,Ollie,2,2026-03-12 15:25:39+00:00,2026-03-13 06:31:12+00:00,-52.0,-51
Callan,Pippah,2,2025-05-22 17:36:14+00:00,2025-05-22 17:38:19+00:00,-82.0,-81
Callan,Shinny,2,2024-10-18 00:49:01+00:00,2024-10-18 00:55:59+00:00,-68.0,-64
Callan,James,2,2024-07-26 14:27:06+00:00,2024-07-26 19:14:09+00:00,-88.5,-88
Blaise,Sophie,2,2026-03-12 21:20:46+00:00,2026-03-13 06:21:19+00:00,-53.5,-51
Emily,Georgia,2,2026-03-11 06:08:21+00:00,2026-03-13 06:49:45+00:00,-59.5,-58
Craig,Shinny,2,2026-03-14 03:44:05+00:00,2026-03-14 03:52:39+00:00,-44.0,-44
Craig,Sophie,2,2026-03-13 22:51:53+00:00,2026-03-13 23:24:02+00:00,-64.5,-64
Craig,Kaelah,2,2026-03-13 23:23:10+00:00,2026-03-13 23:44:02+00:00,-58.0,-58
Callan,Sophie,2,2024-10-18 00:49:01+00:00,2024-10-18 00:57:59+00:00,-69.5,-57
Cameron,Georgia,2,2026-03-12 01:58:34+00:00,2026-03-13 05:50:39+00:00,-64.5,-63
Cameron,Emily,2,2026-03-13 22:31:36+00:00,2026-03-13 23:09:55+00:00,-68.5,-68
