focal_koala,ts,other_name,other_file_uid,other_device_uid,rssi_dbm,behaviour
Kaelah,2026-03-13 23:23:10+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-41,
Kaelah,2026-03-13 23:23:10+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-58,
Kaelah,2026-03-13 23:03:10+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-57,
Kaelah,2026-03-13 23:03:10+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-59,
Kaelah,2026-03-13 18:23:07+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-74,
Kaelah,2026-03-13 07:02:58+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-43,
Kaelah,2026-03-13 06:52:58+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-18,
Kaelah,2026-03-13 06:42:58+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-29,
Kaelah,2026-03-13 06:32:58+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-20,
Kaelah,2026-03-13 03:42:56+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-46,
Kaelah,2026-03-13 03:42:56+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-43,
Kaelah,2026-03-13 02:32:55+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-51,
Kaelah,2025-07-06 17:12:48+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-88,
Lincoln,2024-05-07 17:01:44+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201009CF4F86,-83,
Lincoln,2024-04-09 08:13:09+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-91,
Lotus,2026-03-13 06:53:47+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-49,
Lotus,2026-03-13 06:53:47+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-46,
Lotus,2026-03-13 06:43:47+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-34,
Lotus,2026-03-13 06:33:47+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-40,
Lotus,2026-03-13 05:53:47+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-47,
Lotus,2026-03-13 05:33:47+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-43,
Lotus,2026-03-12 15:53:37+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-50,
Lotus,2026-03-12 14:23:36+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-52,
Lotus,2026-03-12 02:43:28+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-55,
Lotus,2026-03-11 22:13:25+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-63,
Lotus,2026-03-11 05:53:15+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-72,
Lotus,2026-01-02 09:35:56+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-88,
Lotus,2025-09-16 15:12:52+00:00,Robbie,ZfBOHgBBRAeCnQ6f,C1612010105EB6ED,-90,
